Citation	Study	Sample	Measure	Reliability	N	Estimate	Splithalf	Parts	Parts_provided	Delay	Aggregate	Aggregate_num	Estimate_notes	Estimate_searchable	Source
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78."	1	2	SC-IAT	IC	57	0.87	0.77	2					"D-Score sedentary behavior, Section 3.3, T1"	Yes	Search
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78."	1	2	SC-IAT	IC	57	0.85	0.74	2					"D-Score sedentary behavior, Section 3.3, T2"	Yes	Search
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78."	1	1	IAT	TRR	54	0.75				1 hour			D-Score	Yes	Search
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78."	1	2	SC-IAT	TRR	57	0.33				1 hour			D-Score	Yes	Search
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78."	1	2	SC-IAT	TRR	57	0.19				1 hour			D-Score	Yes	Search
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	1	1	IAT	IC	56	0.82		2						Yes	OrigPub
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	1	1	SC-IAT	IC	56	0.61		2					Coke	Yes	OrigPub
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	1	1	SC-IAT	IC	56	0.69		2					Pepsi	Yes	OrigPub
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	2	1	IAT	IC	66	0.58		2						Yes	OrigPub
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	2	1	SC-IAT	IC	66	0.73		2						Yes	OrigPub
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	3	1	IAT	IC	81	0.75		2						Yes	OrigPub
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	3	1	SC-IAT	IC	81	0.7		2					White	Yes	OrigPub
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	3	1	SC-IAT	IC	81	0.55		2					Black	Yes	OrigPub
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	4	1	IAT	IC	84	0.78		2						Yes	OrigPub
"Karpinski, A., & Steinman, R. B. (2006). The Single Category Implicit Association Test as a measure of implicit social cognition. Journal of Personality and Social Psychology, 91, 16–32."	4	1	SC-IAT	IC	84	0.85		2						Yes	OrigPub
"Ye, Y., & Gawronski, B. (2018). Validating the semantic misattribution procedure as an implicit measure of gender stereotyping. European Journal of Social Psychology, 48, 348–364."	1	1	AMP	IC	171	0.82		2						Yes	Search
"Ye, Y., & Gawronski, B. (2018). Validating the semantic misattribution procedure as an implicit measure of gender stereotyping. European Journal of Social Psychology, 48, 348–364."	2	1	AMP	IC	165	0.86		2					stereotypical gender priming	Yes	Search
"Ye, Y., & Gawronski, B. (2018). Validating the semantic misattribution procedure as an implicit measure of gender stereotyping. European Journal of Social Psychology, 48, 348–364."	3	1	AMP	IC	268	0.84		2			Average of 2 block order conditions	2	stereotypical gender priming	No	Search
"Williams, A., Steele, J. R., & Lipman, C. (2016). Assessing children’s implicit attitudes using the affect misattribution procedure. Journal of Cognition and Development, 17, 505–525."	1	1	AMP	IC	70	0.73		12						Yes	Search
"Williams, A., Steele, J. R., & Lipman, C. (2016). Assessing children’s implicit attitudes using the affect misattribution procedure. Journal of Cognition and Development, 17, 505–525."	2	1	AMP	IC	57	0.67		12						Yes	Search
"Williams, A., Steele, J. R., & Lipman, C. (2016). Assessing children’s implicit attitudes using the affect misattribution procedure. Journal of Cognition and Development, 17, 505–525."	2	1	IAT	IC	57	0.83		2	No					Yes	Search
"Williams, A., Steele, J. R., & Lipman, C. (2016). Assessing children’s implicit attitudes using the affect misattribution procedure. Journal of Cognition and Development, 17, 505–525."	3	1	AMP	IC	84	0.73		12						Yes	Search
"Williams, A., Steele, J. R., & Lipman, C. (2016). Assessing children’s implicit attitudes using the affect misattribution procedure. Journal of Cognition and Development, 17, 505–525."	3	1	IAT	IC	84	0.74		2	No					Yes	Search
"Cooley, E., & Payne, B. K. (2017). Using groups to measure intergroup prejudice. Personality and Social Psychology Bulletin, 43, 46–59."	2 T1	1	AMP	IC	138	0.73		2	No				Group AMP. Excluded Study 2 T2 since sample was not completely the same.	Yes	Search
"Cooley, E., & Payne, B. K. (2017). Using groups to measure intergroup prejudice. Personality and Social Psychology Bulletin, 43, 46–59."	2 T1	1	AMP	IC	138	0.52		2	No				Group AMP. Excluded Study 2 T2 since sample was not completely the same.	Yes	Search
"Cooley, E., & Payne, B. K. (2017). Using groups to measure intergroup prejudice. Personality and Social Psychology Bulletin, 43, 46–59."	2	1	AMP	TRR	115	0.63				3-4 weeks			Group AMP	Yes	Search
"Cooley, E., & Payne, B. K. (2017). Using groups to measure intergroup prejudice. Personality and Social Psychology Bulletin, 43, 46–59."	2	1	AMP	TRR	115	0.49				3-4 weeks			Individual AMP	Yes	Search
"Payne, B. K., Cheng, C. M., Govorun, O., & Stewart, B. D. (2005). An inkblot for attitudes: affect misattribution as implicit measurement. Journal of Personality and Social Psychology, 89, 277–293."	1	1	AMP	IC	32	0.85		12						Yes	OrigPub
"Payne, B. K., Cheng, C. M., Govorun, O., & Stewart, B. D. (2005). An inkblot for attitudes: affect misattribution as implicit measurement. Journal of Personality and Social Psychology, 89, 277–293."	2	1	AMP	IC	43	0.81		12						Yes	OrigPub
"Payne, B. K., Cheng, C. M., Govorun, O., & Stewart, B. D. (2005). An inkblot for attitudes: affect misattribution as implicit measurement. Journal of Personality and Social Psychology, 89, 277–293."	3	1	AMP	IC	45	0.95		12						Yes	OrigPub
"Payne, B. K., Cheng, C. M., Govorun, O., & Stewart, B. D. (2005). An inkblot for attitudes: affect misattribution as implicit measurement. Journal of Personality and Social Psychology, 89, 277–293."	4	1	AMP	IC	38	0.9		12						Yes	OrigPub
"Payne, B. K., Cheng, C. M., Govorun, O., & Stewart, B. D. (2005). An inkblot for attitudes: affect misattribution as implicit measurement. Journal of Personality and Social Psychology, 89, 277–293."	5	1	AMP	IC	39	0.9		12						Yes	OrigPub
"Payne, B. K., Cheng, C. M., Govorun, O., & Stewart, B. D. (2005). An inkblot for attitudes: affect misattribution as implicit measurement. Journal of Personality and Social Psychology, 89, 277–293."	6	1	AMP	IC	55	0.85		12						Yes	OrigPub
"De Schryver, M., Hussey, I., De Neve, J., Cartwright, A., & Barnes-Holmes, D. (2018). The PIIRAP: An alternative scoring algorithm for the IRAP using a probabilistic semiparametric effect size measure. Journal of Contextual Behavioral Science, 7, 97–103."	1	1	IRAP	IC	188	0.29		2					DIRAP scoring algorithm	Yes	Search
"Pilch, I., & Hyla, M. (2017). Narcissism and self-esteem revisited: The relationships between the subscales of the NPI and explicit/implicit self-esteem. Polish Psychological Bulletin, 48, 264–278."	1	1	IRAP	IC	49	0.81		2			Average of 4 trial types	4		No	Search
"McKenna, I., Hughes, S., Barnes-Holmes, D., De Schryver, M., Yoder, R., & O’Shea, D. (2016). Obesity, food restriction, and implicit attitudes to healthy and unhealthy foods: Lessons learned from the implicit relational assessment procedure. Appetite, 100, 41–54."	1	1	IRAP	IC	47	0.62		2			Average of 2 trial types	2		No	Search
"McKenna, I., Hughes, S., Barnes-Holmes, D., De Schryver, M., Yoder, R., & O’Shea, D. (2016). Obesity, food restriction, and implicit attitudes to healthy and unhealthy foods: Lessons learned from the implicit relational assessment procedure. Appetite, 100, 41–54."	2	1	IRAP	IC	57	0.33		2			Average of 2 trial types	2		No	Search
"McKenna, I., Hughes, S., Barnes-Holmes, D., De Schryver, M., Yoder, R., & O’Shea, D. (2016). Obesity, food restriction, and implicit attitudes to healthy and unhealthy foods: Lessons learned from the implicit relational assessment procedure. Appetite, 100, 41–54."	3	1	IRAP	IC	74	0.48		2			Average of 2 trial types	2		No	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	1	IRAP	IC	25.33333333	0.7		2					"real-real-real, T1"	Yes	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	1	IRAP	IC	25.33333333	0.73		2					"real-real-real, T2"	Yes	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	1	IRAP	IC	25.33333333	0.63		2					"real-real-real, T3"	Yes	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	2	IRAP	IC	25.33333333	0.4		2					"real-real-fake, real IRAPs only, T1"	Yes	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	2	IRAP	IC	25.33333333	0.62		2					"real-real-fake, real IRAPs only, T2"	Yes	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	3	IRAP	IC	25.33333333	0.61		2					"real-fake-fake, real IRAP only"	Yes	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	1	IRAP	TRR	25.33333333	0.51				same session			"real-real-real, T1-T2"	Yes	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	1	IRAP	TRR	25.33333333	0.3				same session			"real-real-real, T1-T3"	Yes	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	1	IRAP	TRR	25.33333333	0.59				same session			"real-real-real, T2-T3"	Yes	Search
"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163."	1	2	IRAP	TRR	25.33333333	0.32				same session			"real-real-fake, real IRAPs only"	Yes	Search
"Rönspies, J., Schmidt, A. F., Melnikova, A., Krumova, R., Zolfagari, A., & Banse, R. (2015). Indirect measurement of sexual orientation: comparison of the Implicit Relational Assessment Procedure, viewing time, and choice reaction time tasks. Archives of Sexual Behavior, 44, 1483–1492."	1	1	IRAP	IC	118	0.78		3						Yes	Search
"Barnes-Holmes, D., Murphy, A., Barnes-Holmes, Y., & Stewart, I. (2010). The implicit relational assessment procedure: exploring the impact of private versus public contexts and the response latency criterion on pro-white and anti-black stereotyping among white irish individuals. The Psychological Record, 60, 57–79."	1	1	IRAP	IC	31	0.34		2			Average across two conditions	2		No	Search
"Barnes-Holmes, D., Murphy, A., Barnes-Holmes, Y., & Stewart, I. (2010). The implicit relational assessment procedure: exploring the impact of private versus public contexts and the response latency criterion on pro-white and anti-black stereotyping among white irish individuals. The Psychological Record, 60, 57–79."	2	1	IRAP	IC	19	0.81		2						Yes	Review
"Barnes-Holmes, D., Murtagh, L., Barnes-Holmes, Y., & Stewart, I. (2010). Using the implicit association test and the implicit relational assessment procedure to measure attitudes toward meat and vegetables in vegetarians and meat-eaters. The Psychological Record, 60, 287–305."	1	1	IAT	IC	32	0.76		2						Yes	Review
"Barnes-Holmes, D., Murtagh, L., Barnes-Holmes, Y., & Stewart, I. (2010). Using the implicit association test and the implicit relational assessment procedure to measure attitudes toward meat and vegetables in vegetarians and meat-eaters. The Psychological Record, 60, 287–305."	1	1	IRAP	IC	32	0.72		2						Yes	Review
"Barnes-Holmes, D., Waldron, D., Barnes-Holmes, Y., & Stewart, I. (2009). Testing the validity of the implicit relational assessment procedure and the implicit association test: measuring attitudes toward dublin and country life in ireland. The Psychological Record, 59, 389–406."	1	1	IAT	IC	26	0.46		2						Yes	Review
